Epoch,Test Accuracy (%),Validation Accuracy (%),Training Accuracy (%),Absolute Variance,Time per Step (ms/step)
1,92.20158538818359,86.26896667480469,87.30574220349996,5.932618713378901,1063.1814818963162
2,92.20158538818359,89.54405212402344,91.26617090464924,2.6575332641601612,1053.5878065278089
3,92.20158538818359,90.24671936035156,92.26837275849918,1.9548660278320362,1027.5199252403586
4,92.20158538818359,90.46870422363281,92.77439102725792,1.7328811645507813,1041.0720397253815
5,92.20158538818359,90.83023071289062,93.22044943145539,1.3713546752929684,1028.551546133578
6,92.20158538818359,91.40766906738281,93.27671577494789,0.7939163208007805,1038.236661295845
7,92.20158538818359,90.37022399902344,93.52245874926965,1.8313613891601577,1060.3710939547768
8,92.20158538818359,90.77081298828125,93.81366573854328,1.430772399902347,1050.236618487486
9,92.20158538818359,91.95954895019531,93.92752665782214,0.24203643798828,1053.1508021977363
10,92.20158538818359,91.48078918457031,94.0846580675959,0.7207962036132831,1048.8861457597363
11,92.20158538818359,91.85382080078125,94.09763803827643,0.34776458740234384,1049.073231941143
12,92.20158538818359,91.38101196289062,94.34167513409852,0.8205734252929697,1054.1410052285291
13,92.20158538818359,91.12071228027344,94.35701098181049,1.080873107910152,1055.1641303964293
14,92.20158538818359,90.7266845703125,94.39363560496427,1.4749008178710943,1055.3518848185158
15,92.20158538818359,92.40147399902344,94.34085043007903,0.199888610839849,1051.8059657395252
16,92.20158538818359,91.34339904785156,94.71764781425435,0.8581863403320344,1044.3078678600837
17,92.20158538818359,92.00199890136719,94.67566790907954,0.19958648681640545,1044.6378235018744
18,92.20158538818359,92.024658203125,94.49238714660785,0.17692718505859517,1027.2519875784699
19,92.20158538818359,91.33248901367188,94.4880342152639,0.8690963745117131,1035.861577097519
20,92.20158538818359,93.18234252929688,94.9020326918791,0.9807571411132865,1028.38700179151
21,92.20158538818359,91.52560424804688,94.94039848757048,0.6759811401367166,1038.8550245375304
22,92.20158538818359,92.96701049804688,94.91790795013733,0.7654251098632825,1026.366633558148
23,92.20158538818359,91.59063720703125,95.11503044604888,0.6109481811523487,1029.0792190015159
24,92.20158538818359,93.0633544921875,95.0851499253084,0.8617691040039066,1031.474242703524
25,92.20158538818359,92.93104553222656,95.04474178128916,0.7294601440429704,1039.882914002374
26,92.20158538818359,93.56828308105469,95.20328083494212,1.3666976928710994,1030.2997921560022
27,92.20158538818359,92.64474487304688,95.31483999471436,0.44315948486328693,1058.8763535388407
28,92.20158538818359,93.30596923828125,95.34417522256891,1.1043838500976566,1060.989474853228
29,92.20158538818359,93.62130737304688,95.4574967313015,1.419721984863287,1037.6528057479525
30,92.20158538818359,93.27944946289062,95.31513646463293,1.0778640747070356,1036.44063731853
31,92.20158538818359,92.60606384277344,95.33110054621994,0.40447845458984055,1030.3250604507487
32,92.20158538818359,93.07823181152344,95.16583974304434,0.8766464233398441,1026.5419733931788
33,92.20158538818359,93.07783508300781,95.43496148808698,0.876249694824216,1033.9314740128311
34,92.20158538818359,93.92218017578125,95.17304325618464,1.7205947875976513,1020.487734354138
35,92.20158538818359,91.76609802246094,95.24707779483604,0.43548736572265323,1034.2563335358523
36,92.20158538818359,92.79864501953125,95.1631544549923,0.5970596313476517,1031.6050300255458
37,92.20158538818359,92.89826965332031,95.43984618293568,0.6966842651367156,1029.620329608633
38,92.20158538818359,93.661376953125,95.52848598271402,1.459791564941404,1029.9351312527
39,92.20158538818359,93.64997863769531,95.58875172893727,1.4483932495117147,1024.1718083280518
40,92.20158538818359,93.64002990722656,95.6021687574541,1.4384445190429695,1032.6925400158066
41,92.20158538818359,93.26194763183594,95.6166999011014,1.0603622436523463,1029.3075147164066
